rep,R,generation,r_rate
22,0.1,122500,2.652521946227628e-07
19,0.1,80000,1.3651900626579051e-06
23,10.0,102500,2.5806536146966135e-05
18,0.1,117500,8.403353342185085e-08
24,10.0,117500,1.9354831666699346e-05
11,1.0,130000,1.8181798877093287e-06
20,0.1,102500,6.545129315281593e-22
6,0.1,107500,2.008030007512117e-07
8,1.0,110000,1.8666624491191323e-06
23,0.1,140000,1.8587368811763392e-07
6,10.0,87500,2.3961642813570558e-05
12,0.1,82500,3.636369060840484e-07
13,10.0,112500,2.0354011150350593e-05
20,1.0,132500,2.040813181976074e-06
21,1.0,110000,1.7441869381175714e-06
4,1.0,100000,1.2322302752033051e-06
30,10.0,80000,1.3605474830719895e-06
23,1.0,100000,1.3586941219207428e-06
21,0.1,97500,1.0548523146926447e-07
16,0.1,132500,1.3106161844754725e-07
3,10.0,102500,2.305295896089608e-05
4,1.0,90000,2.1260195234779924e-06
18,1.0,140000,1.538466103871072e-06
28,10.0,117500,2.026435036313213e-05
8,0.1,80000,1.6129074690545228e-06
30,0.1,115000,1.0660965429348474e-07
8,0.1,110000,1.1834272459144235e-07
24,0.1,115000,1.248438131543966e-07
21,10.0,112500,1.5748041930986416e-05
8,10.0,120000,1.7901240730069054e-05
3,1.0,92500,1.2546075463734326e-06
21,1.0,132500,1.504429562980558e-06
29,10.0,105000,2.0814434965269746e-05
25,10.0,117500,2.1854341994394123e-05
23,10.0,97500,1.879697976035033e-05
15,1.0,100000,1.0582021543957775e-06
13,10.0,97500,2.5000001968490933e-05
16,0.1,90000,2.0263459960990085e-07
22,10.0,122500,1.6949197674733244e-05
19,10.0,90000,2.083333628795636e-05
7,1.0,82500,1.9704409208765254e-06
19,0.1,102500,7.53578686967312e-08
3,1.0,132500,1.8248185663475525e-06
10,1.0,135000,1.4884978593297599e-06
14,1.0,137500,1.4869931232372023e-06
9,10.0,130000,2.07317394712723e-05
24,1.0,125000,2.294455255645329e-06
12,0.1,137500,7.633584118004209e-08
23,0.1,115000,1.6233769436272228e-07
12,10.0,97500,1.8679950564350935e-05
10,10.0,92500,2.188939488470814e-05
25,1.0,122500,1.3745716759717456e-06
17,0.1,90000,1.5220718866726553e-07
23,10.0,100000,1.4655134108873542e-05
6,1.0,80000,1.0920414994240734e-06
11,10.0,80000,1.5317279968619676e-06
28,10.0,85000,1.9544007283899986e-05
11,0.1,107500,1.4409233915878078e-07
11,0.1,125000,1.51515359377013e-07
20,1.0,137500,1.569503249977607e-06
6,10.0,82500,1.5160386320542996e-05
6,1.0,105000,1.0416675708099871e-06
8,1.0,112500,1.697536473498001e-06
12,0.1,97500,1.633981343879179e-07
29,1.0,107500,2.2788227219515338e-06
28,0.1,130000,1.2077287881378786e-07
